Handle,Title,"Body (HTML)",Vendor,"Product Category",Type,Tags,Published,"Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Dimension (product.metafields.custom.dimension)","Finish (product.metafields.custom.finish)","Material (product.metafields.custom.material)","Google: Custom Product (product.metafields.mm-google-shopping.custom_product)","Artwork frame material (product.metafields.shopify.artwork-frame-material)","Backrest type (product.metafields.shopify.backrest-type)","Bulb cap type (product.metafields.shopify.bulb-cap-type)","Color (product.metafields.shopify.color-pattern)","Decoration material (product.metafields.shopify.decoration-material)","Frame style (product.metafields.shopify.frame-style)","Furniture/Fixture features (product.metafields.shopify.furniture-fixture-features)","Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material)","Light temperature (product.metafields.shopify.light-temperature)","Material (product.metafields.shopify.material)","Mounting type (product.metafields.shopify.mounting-type)","Seat type (product.metafields.shopify.seat-type)","Shape (product.metafields.shopify.shape)","Style (product.metafields.shopify.style)","Theme (product.metafields.shopify.theme)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Status
terra-fold-1,"Ear to Wall","<p>This wall artwork captures the essence of intuitive emotions, offering a profound connection between artist and viewer. Its fluid forms seem to evolve organically, inviting <br>quiet contemplation and reflection. With a strong yet subtle presence, the piece radiates serenity, transforming any space into a meditative environment. Its textured layers, <br>crafted with meticulous care, speak to the inner journey of the artist, bringing depth and meaning to your interior. A quiet masterpiece that resonates with a sense of timeless <br>beauty and introspection.</p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Visual Artwork",Artworks,"Artworks, Malleka 2024 II",false,Title,"Default Title",,,,,,,,LD-WA-046,65000.0,shopify,100,deny,manual,250000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/0V8A0808-Copyil.jpg?v=1758280907,1,,false,,,,,,,,,,,,,,"H: 72 in | W: 48 in | D: 7 in","Smooth Concrete","Engineered Concrete | Engineered Wood | Metal ",,wood,,,beige,,unframed,,,,,,,,,"nature; spirituality; art",,kg,,,draft
terra-fold-4,"Terra Fold 4","<p>A collection of four mini artworks, these pieces are reflections of the artist’s intuitive emotions. Though small in scale, each artwork holds a powerful presence, creating <br>a dialogue between them that evolves with time. Their textured surfaces and soft movements offer moments of quiet reflection, while the set, as a whole, invites a playful yet <br>contemplative energy into your space. Perfect for creating a gallery-style arrangement, these mini masterpieces transform even the smallest corner into a haven of <br>thoughtful beauty and artistic evolution.</p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Sculptures & Statues",Artworks,"Artworks, Malleka 2024 II",false,Title,"Default Title",,,,,,,,LD-WA-044,16000.0,shopify,100,deny,manual,75000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/EmptyName29.png?v=1758277926,1,,false,,,,,,,,,,,,,,"H: 15 in | W: 15 in | D: 2 in","Smooth Concrete","Engineered Concrete | Engineered Wood | Metal ",,,,,beige,wood,,,,,,,,,,"art; modern; nature; spirituality",,kg,,,draft
terra-fold-2,"Terra Fold 2","<p>This set of two smaller artworks carries the same quiet strength and evolving aesthetic as it's original version. Reflecting the artist’s intuitive emotions, they complement <br>one another in perfect harmony, their subtle movements hinting at transformation. Each piece offers a delicate balance of serenity and depth, making them ideal for smaller <br>spaces that crave a touch of reflection and artistry. Together, they invite viewers into a world of contemplation, where silence speaks volumes, and the art itself <br>seems to breathe.</p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Visual Artwork",Artworks,"Artworks, Malleka 2024 II",false,Title,"Default Title",,,,,,,,LD-WA-043,43000.0,shopify,100,deny,manual,135000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/EmptyName12.png?v=1758276994,1,,false,,,,,,,,,,,,,,"H: 36 in | W: 18 in | D: 3 in","Smooth Concrete","Engineered Concrete | Engineered Wood | Metal ",,wood,,,beige,,"framed; modern",,,,,,,,,"art; modern; spirituality",,kg,,,draft
balancing-act-sculpture,"Balancing Act Sculpture","<p><meta charset=""utf-8"">Gravity-defying artistry in stone. The Balancing Act Sculpture features a vertical stack of raw stones connected by vibrant terracotta elements, creating a dynamic interplay between rough natural forms and smooth ceramic curves. Each carefully selected stone contributes to the precarious yet stable composition, while the coral-red accents add warmth and visual flow. This striking piece transforms any space into a contemporary gallery.</p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Sculptures & Statues",,"Echoes of the earth",true,Title,"Default Title",,,,,,,,"LD-SC-BA 1",58000.0,shopify,100,deny,manual,180000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/27.png?v=1757239628,1,,false,"Buy Balancing Act Sculpture Online in India | Best Balancing Act Sculpture",,,,,,,,,,,,,"Dia 15"" H 57"" ",,"Engineered Concrete | Metal ",,,,,"white; geometric; red; black","stone; ceramic; metal",,,,,,,,,,"art; nature",,kg,,,active
balancing-act-sculpture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/20.png?v=1757239628,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-sculpture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/70.png?v=1757239628,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-sculpture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/89.png?v=1757239628,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancing-act-sculpture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/209.png?v=1757239628,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origin-mirror,"Origin Mirror","<p><meta charset=""utf-8"">Organic flow captured in reflection. The Origin Mirror features a fluid, asymmetrical design where smooth mirror surfaces connect through rough-hewn black stone joints. This artistic piece transforms functional reflection into wall sculpture, with natural stone elements adding textural contrast to the sleek mirror panels. The undulating form creates visual movement while providing practical functionality for entryways, living spaces, or dressing areas.</p>",leidenschaft.in,"Home & Garden > Decor > Mirrors",,"Echoes of the earth",true,Title,"Default Title",,,,,,,,"LD-M-OR 1",19000.0,shopify,99,deny,manual,35000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/76.png?v=1757239496,1,,false,"Buy Origin Mirror Online in India | Best Origin Mirror",,,,,,,,,,,,,"L 29"" W 0.7"" H 55.6""",,"Engineered Concrete | Metal | Engineered Wood",,,,,"gray; white",,,,,,,,,free-form,,,,kg,,,active
origin-mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/85.png?v=1757239495,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
