Handle,Title,"Body (HTML)",Vendor,"Product Category",Type,Tags,Published,"Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Dimension (product.metafields.custom.dimension)","Finish (product.metafields.custom.finish)","Material (product.metafields.custom.material)","Google: Custom Product (product.metafields.mm-google-shopping.custom_product)","Artwork frame material (product.metafields.shopify.artwork-frame-material)","Backrest type (product.metafields.shopify.backrest-type)","Bulb cap type (product.metafields.shopify.bulb-cap-type)","Color (product.metafields.shopify.color-pattern)","Decoration material (product.metafields.shopify.decoration-material)","Frame style (product.metafields.shopify.frame-style)","Furniture/Fixture features (product.metafields.shopify.furniture-fixture-features)","Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material)","Light temperature (product.metafields.shopify.light-temperature)","Material (product.metafields.shopify.material)","Mounting type (product.metafields.shopify.mounting-type)","Seat type (product.metafields.shopify.seat-type)","Shape (product.metafields.shopify.shape)","Style (product.metafields.shopify.style)","Theme (product.metafields.shopify.theme)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Status
drape-table-lamp,"Drape Table Lamp","<p><span>Minimal and poetic, the Drape Table Lamp N2 refines the essence of organic form. Its quiet presence complements any space, offering a soft radiance that feels both grounding and ethereal. A seamless balance of materiality and light.</span></p>",leidenschaft.in,"Home & Garden > Lighting > Lamps > Table Lamps",,"Light, Malleka 2025",true,Title,"Default Title",,,,,,,,"LD tl 1 -ID",3500.0,shopify,100,deny,manual,25000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/211.jpg?v=1757230364,1,,false,,,,,,,,,,,,,,"H: 16 in | Dia :9 in","Smooth Concrete","Engineered Concrete | Engineered Wood | Alabaster ",,,,,,,,,,,,,,,,,,kg,,,active
drape-table-lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/212.jpg?v=1757230364,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stratum,Stratum,"<p><span>Stratum is a suspended artwork featuring three oval-shaped boards, each adorned with fluid graphic prints. Handmade from concrete with soft, rounded edges, this piece transforms any space with its unique design. When viewed from a specific angle, the lines on each board align perfectly, revealing a mesmerizing connection. Stratum invites you to explore the hidden harmony and unity within, making it a thought-provoking addition to your decor.</span></p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Sculptures & Statues",Artworks,"Artworks, Malleka 2024 I",true,Title,"Default Title",,,,,,,,LD-WA-036,54000.0,shopify,100,deny,manual,145000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/133.jpg?v=1757229474,1,,false,,,,,,,,,,,,,,"Dia: 48 in (L), 36 in (M), 24 in (S) ","Engineered Concrete Finish","Engineered Concrete | Engineered Wood",,,,,geometric,concrete,,,,,,,,,,"art; modern",,kg,,,active
stratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/134.jpg?v=1757229474,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/135.jpg?v=1757229474,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isle-n1,"Isle N1","<p><span>Isle is a captivating wall art panel that celebrates the fluid essence of polymerized concrete. Handcrafted to capture the material's dynamic movement, this piece appears to freeze time, preserving the raw beauty of concrete in motion. Inspired by the natural elegance of an atoll, it transforms any space with its serene yet powerful presence. Isleinvites you to explore the harmonious dance of stillness and flow, making it a striking addition to your decor.</span></p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Visual Artwork",Artworks,"Artworks, Malleka 2024 I",true,Title,"Default Title",,,,,,,,LD-WA-047,15000.0,shopify,100,deny,manual,95000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/132.jpg?v=1757229398,1,,false,,,,,,,,,,,,,,"H: 50 in | W: 18 in | D: 4 in","Engineered Concrete Finish","Engineered Concrete | Engineered Wood | Metal ",,,,,beige,,"framed; modern",,,,,,,,,"art; nature",,kg,,,active
discord-wall-panel,"Discord Wall Panel","<p><span>Layers of overlapping concrete panels create a dynamic, textured composition—an interplay of depth and shadow. The Discord Wall Panel transforms the wall into a living surface, where solidity meets movement in an ever-shifting dialogue of form.</span></p>",leidenschaft.in,"Hardware > Building Materials > Wall Paneling",Artworks,"Artworks, Malleka 2025",true,Title,"Default Title",,,,,,,,"LD ART1 -ID",35000.0,shopify,98,deny,manual,175000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/200.jpg?v=1757229294,1,,false,,,,,,,,,,,,,,"( Front ) H 69 in W 34 in | ( Middle ) D 48 in H 24 in | ( Back ) H 24 in W 17 in","Combination Smooth and Textured Concrete","Engineered Concrete | Engineered Wood | Metal | Textured Brass",,,,,"brown; gray",,,,,,,,,,,,,kg,,,active
discord-wall-panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/202.jpg?v=1757229294,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discord-wall-panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/201.jpg?v=1757229295,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isle-n2,"Isle N2","<p><span>Isle is a captivating wall art panel that celebrates the fluid essence of polymerized concrete. Handcrafted to capture the material's dynamic movement, this piece appears to freeze time, preserving the raw beauty of concrete in motion. Inspired by the natural elegance of an atoll, it transforms any space with its serene yet powerful presence. Isleinvites you to explore the harmonious dance of stillness and flow, making it a striking addition to your decor.</span></p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Visual Artwork",Artworks,"Artworks, Malleka 2024 I",true,Title,"Default Title",,,,,,,,LD-WA-035,8000.0,shopify,99,deny,manual,75000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/130.jpg?v=1757229183,1,,false,,,,,,,,,,,,,,"H: 50 in | W: 14 in | D: 4 in","Engineered Concrete Finish","Engineered Concrete | Engineered Wood | Metal ",,,,,"white; gray",,unframed,,,,,,,,,"nature; art",,kg,,,active
isle-n2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/131.jpg?v=1757229183,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abacus-swatch,"Abacus Swatch","<p><span>Combining our worlds into one object, the Abacus Swatch displays the textures of innovation at Leidenschaft Studio. A tactile exploration of materiality, it serves as a bridge between tradition and experimentation, offering a glimpse into the studio’s design philosophy. Each detail reflects a commitment to craftsmanship, where raw elements merge to form a singular, expressive composition.</span></p>",leidenschaft.in,"Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Loose Stones",Artworks,"Artworks, Malleka 2025",true,Title,"Default Title",,,,,,,,"LD art2 ID",100000.0,shopify,99,deny,manual,225000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/208.jpg?v=1757228852,1,,false,,,,,,,,,,,,,,"H: 60 in | W: 25 in | L: 80 in","Conbination of Smooth and Textured Concrete","Engineered Concrete | Engineered Wood | Metal",,,,,,,,,,,,,,,,,,kg,,,active
abacus-swatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/209.jpg?v=1757228852,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terra-fold,"Terra Fold Mirror","<p><span>This wall artwork captures the essence of intuitive emotions, offering a profound connection between artist and viewer. Its fluid forms seem to evolve organically, inviting quiet contemplation and reflection. With a strong yet subtle presence, the piece radiates serenity, transforming any space into a meditative environment. Its textured layers, crafted with meticulous care, speak to the inner journey of the artist, bringing depth and meaning to your interior. A quiet masterpiece that resonates with a sense of timeless beauty and introspection.</span></p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Visual Artwork",Artworks,"Artworks, Malleka 2024 II",true,Title,"Default Title",,,,,,,,LD-WA-042,43000.0,shopify,100,deny,manual,250000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/138.jpg?v=1757228705,1,,false,,,,,,,,,,,,,,"H: 90.2 in | W: 35 in | D: 4 in","Smooth Concrete","Engineered Concrete | Mirror | Engineered Wood | Metal ",,wood,,,"gray; beige; white",,"modern; framed",,,,,,,,,"spirituality; art; nature",,kg,,,active
terra-fold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/139.jpg?v=1757228705,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terra-fold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/140.jpg?v=1757228705,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terra-fold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/141.jpg?v=1757228705,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enclose-fluid-concrete-mirror,"Enclose (Fluid concrete + Mirror)","<p><span>An exquisite embodiment of fluidity and form, the Enclose Mirror creates an immersive experience, as if the mirror itself becomes an extension of the observer. Half encasing its viewer, the mirror blends the strength of concrete with an ethereal sense of fluid motion, forming a piece that feels as sculptural as reflective. The organic curves and materiality of the design evoke a quiet dialogue between solidity and softness, inviting you to become part of the piece's narrative.</span></p>",leidenschaft.in,"Home & Garden > Decor > Mirrors",Artworks,"Artworks, Malleka 2024 II",true,Title,"Default Title",,,,,,,,LD-WA-038,20000.0,shopify,100,deny,manual,45000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/142.jpg?v=1757228621,1,,false,,,,,,,,,,,,,,"H: 38 in | W: 17.5 in | D: 5 in",,"Engineered Concrete | Mirror | Engineered Wood | Metal ",,,,,"white; gray",,,,,,,,,free-form,,,,kg,,,active
enclose-fluid-concrete-mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/144.jpg?v=1757228621,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enclose-fluid-concrete-mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/145.jpg?v=1757228621,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abacus,Abacus,"<p><span>A dynamic fusion of art and interaction, the Abacus invites engagement through its meticulously crafted concrete spheres. Inspired by the timeless form of the abacus, this installation transforms a functional object into a sensory experience. The smooth, tactile surfaces of the spheres beckon touch, encouraging viewers to shift and move them, creating an evolving dialogue between user and material. The interplay of weight, movement, and form blurs the lines between sculpture and interaction, evoking a sense of playfulness within a medium as grounded as concrete.</span></p>",leidenschaft.in,"Home & Garden > Decor > Artwork > Sculptures & Statues",Artworks,"Artworks, Malleka 2024 II",true,Title,"Default Title",,,,,,,,LD-WA-039,25000.0,shopify,100,deny,manual,125000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/147.jpg?v=1757228510,1,,false,,,,,,,,,,,,,,"L - 34 IN D-7 IN H-48 IN",,"Engineered Concrete | Engineered Wood | Metal ",,,,,"brown; beige; gray",concrete,,,,,,,,,,"art; history",,kg,,,active
abacus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0946/4214/3527/files/148.jpg?v=1757228510,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
